domain,problem,heuristic,coverage,expansions,time
blocksworld,p01,add,,12,
blocksworld,p01,ff,,12,
blocksworld,p01,llm,,60,
blocksworld,p01,max,,28,
blocksworld,p01,maxh,,56,
blocksworld,p02,add,,16,
blocksworld,p02,ff,,14,
blocksworld,p02,llm,,38,
blocksworld,p02,max,,28,
blocksworld,p03,add,,11,
blocksworld,p03,ff,,9,
blocksworld,p03,llm,,33,
blocksworld,p03,max,,24,
blocksworld,p04,add,,31,
blocksworld,p04,ff,,35,
blocksworld,p04,llm,,595,
blocksworld,p04,max,,187,
blocksworld,p05,add,,21,
blocksworld,p05,ff,,37,
blocksworld,p05,llm,,715,
blocksworld,p05,max,,172,
logistics,p01,add,,81,
logistics,p01,ff,,531,
logistics,p01,llm,,100708,
logistics,p01,max,,53337,
logistics,p02,add,,302,
logistics,p02,ff,,949,
logistics,p02,llm,,74146,
logistics,p02,max,,45289,
logistics,p03,add,,46,
logistics,p03,ff,,224,
logistics,p03,llm,,19668,
logistics,p03,max,,8783,
logistics,p04,add,,522,
logistics,p04,ff,,4479,
logistics,p04,llm,,412335,
logistics,p04,max,,358794,
logistics,p05,add,,245,
logistics,p05,ff,,685,
logistics,p05,llm,,30342,
logistics,p05,max,,22220,
gripper,p01,ff,,168,
gripper,p02,ff,,1532,
gripper,p03,ff,,10960,
gripper,p04,ff,,66948,
gripper,p05,ff,,,
