problem,heuristic,expansions,plan_length,search_time
p01,add,12,6,0.0006120204925537109
p01,ff,12,6,0.0009288787841796875
p01,llm,60,6,0.0004930496215820312
p01,max,28,6,0.0015978813171386719
p01,maxh,56,6,0.0016639232635498047
p02,add,16,10,0.0007767677307128906
p02,ff,14,10,0.0007920265197753906
p02,llm,38,10,0.00030994415283203125
p02,max,28,10,0.0012862682342529297
p03,add,11,6,0.0005478858947753906
p03,ff,9,6,0.0005729198455810547
p03,llm,33,6,0.00027108192443847656
p03,max,24,6,0.0011882781982421875
p04,add,31,12,0.0027670860290527344
p04,ff,35,12,0.003511667251586914
p04,llm,595,12,0.0052530765533447266
p04,max,187,12,0.014967203140258789
p05,add,21,10,0.001851797103881836
p05,ff,37,10,0.00380706787109375
p05,llm,715,10,0.0060579776763916016
p05,max,172,10,0.013949394226074219
