domain,problem,heuristic,model,coverage,expansions,search_time,plan_length
blocksworld,p11.pddl,llm-selected,gpt-4.1-mini,1,254,0.013358116149902344,24
blocksworld,p12.pddl,llm-selected,gpt-4.1-mini,1,103,0.0057032108306884766,22
blocksworld,p13.pddl,llm-selected,gpt-4.1-mini,1,309,0.018312931060791016,22
blocksworld,p14.pddl,llm-selected,gpt-4.1-mini,1,337,0.04409670829772949,22
blocksworld,p15.pddl,llm-selected,gpt-4.1-mini,1,104,0.004000186920166016,18
blocksworld,p16.pddl,llm-selected,gpt-4.1-mini,1,1973,0.15979290008544922,32
blocksworld,p17.pddl,llm-selected,gpt-4.1-mini,1,2126,0.10805726051330566,34
blocksworld,p18.pddl,llm-selected,gpt-4.1-mini,1,328,0.014149904251098633,28
blocksworld,p19.pddl,llm-selected,gpt-4.1-mini,1,3127,0.25428199768066406,40
blocksworld,p20.pddl,llm-selected,gpt-4.1-mini,1,1329,0.11704087257385254,34
