domain,range,method,n_total,n_solved,coverage_mean,expansions_mean_solved,expansions_median_solved,time_mean_solved,time_median_solved,plan_length_mean_solved,plan_length_median_solved
blocksworld,test,add,5.0,5.0,1.0,88.0,50.0,0.0136719226837157,0.0096592903137207,18.0,20.0
blocksworld,test,fd-lmcut,10.0,10.0,1.0,82.4,43.0,0.002087,0.000751,15.6,16.0
blocksworld,test,ff,5.0,5.0,1.0,426.8,91.0,0.071818971633911,0.0104408264160156,16.4,16.0
blocksworld,test,llm-gpt-4o-mini,5.0,5.0,1.0,12713.0,6275.0,0.229117727279663,0.0918109416961669,16.0,16.0
blocksworld,test,max,5.0,5.0,1.0,3137.6,1209.0,0.4570532798767089,0.1519951820373535,15.6,16.0
blocksworld,train,add,5.0,5.0,1.0,18.2,16.0,0.0054423809051513,0.0031981468200683,8.8,10.0
blocksworld,train,fd-lmcut,10.0,10.0,1.0,13.4,12.0,0.0002619999999999,0.000204,8.8,10.0
blocksworld,train,ff,5.0,5.0,1.0,21.4,14.0,0.0070933818817138,0.0038189888000488,8.8,10.0
blocksworld,train,llm-gpt-4o-mini,5.0,5.0,1.0,329.8,112.0,0.015440273284912,0.0056588649749755,8.8,10.0
blocksworld,train,max,5.0,5.0,1.0,87.8,28.0,0.0196630477905273,0.0064172744750976,8.8,10.0
depots,test,fd-lmcut,10.0,4.0,0.4,75208.5,75208.5,36.1761965,36.1761965,22.5,22.5
depots,test,llm-gpt-4o-mini,5.0,2.0,0.4,28109.5,28109.5,50.41805994510651,50.41805994510651,23.5,23.5
depots,train,add,5.0,5.0,1.0,6521.4,1588.0,63.91208834648131,8.92167043685913,33.0,33.0
depots,train,fd-lmcut,10.0,8.0,0.8,130563.0,19114.5,33.04533325,3.198651,20.5,21.0
depots,train,ff,5.0,4.0,0.8,15299.25,4244.5,70.42701864242554,17.74196445941925,22.0,23.0
depots,train,llm-gpt-4o-mini,5.0,5.0,1.0,92202.4,6705.0,48.60698246955872,1.8844656944274905,26.8,30.0
depots,train,max,5.0,2.0,0.4,2908.5,2908.5,4.190369725227356,4.190369725227356,12.5,12.5
gripper,test,add,5.0,0.0,0.0,,,,,,
gripper,test,fd-lmcut,10.0,4.0,0.4,6029125.5,6029125.5,118.263283,118.263283,44.0,44.0
gripper,test,ff,5.0,0.0,0.0,,,,,,
gripper,test,llm-gpt-4o-mini,5.0,0.0,0.0,,,,,,
gripper,test,max,5.0,0.0,0.0,,,,,,
gripper,train,add,5.0,4.0,0.8,11707.5,3729.5,41.35051989555359,8.513285636901855,25.0,25.0
gripper,train,fd-lmcut,10.0,10.0,1.0,90154.6,10537.0,1.0782474,0.085993,23.0,23.0
gripper,train,ff,5.0,4.0,0.8,19902.0,6246.0,49.54895448684693,10.43080472946167,20.0,20.0
gripper,train,llm-gpt-4o-mini,5.0,4.0,0.8,20221.25,6434.0,16.38291847705841,3.5276148319244385,20.0,20.0
gripper,train,max,5.0,3.0,0.6,4605.333333333333,1832.0,13.502169768015545,3.704200506210327,17.0,17.0
logistics,test,add,5.0,5.0,1.0,185.0,113.0,0.0830268383026122,0.0498547554016113,20.2,24.0
logistics,test,fd-lmcut,10.0,10.0,1.0,405.8,517.0,0.0136642,0.016169,19.2,24.0
logistics,test,ff,5.0,5.0,1.0,1445.2,1541.0,0.5868224620819091,0.6980278491973877,19.2,24.0
logistics,test,llm-gpt-4o-mini,5.0,5.0,1.0,137496.4,193105.0,4.755111217498779,6.562352180480957,19.2,24.0
logistics,test,max,5.0,5.0,1.0,138174.4,175898.0,25.181407499313355,33.99450182914734,19.2,24.0
logistics,train,add,5.0,5.0,1.0,239.2,245.0,0.3217638969421387,0.3184452056884765,20.2,19.0
logistics,train,fd-lmcut,10.0,10.0,1.0,287.8,182.0,0.0073423999999999,0.003672,19.6,19.0
logistics,train,ff,5.0,5.0,1.0,1373.6,685.0,1.374382591247559,0.7968626022338867,19.6,19.0
logistics,train,llm-gpt-4o-mini,5.0,5.0,1.0,33161.8,14107.0,2.636366605758667,1.7479922771453855,24.6,25.0
logistics,train,max,5.0,5.0,1.0,97684.6,45289.0,37.26286034584045,21.00719666481018,19.6,19.0
blocksworld,test,llm-gpt-4.1-mini,5.0,5.0,1.0,141.0,58.0,0.009301805496215782,0.0040888786315917,18.0,20.0
blocksworld,train,llm-gpt-4.1-mini,5.0,5.0,1.0,20.4,16.0,0.0010567665100097,0.0007071495056152,8.8,10.0
depots,test,llm-gpt-4.1-mini,5.0,0.0,0.0,,,,,,
depots,train,llm-gpt-4.1-mini,5.0,2.0,0.4,10473.0,10473.0,1.792074918746948,1.792074918746948,12.5,12.5
gripper,test,llm-gpt-4.1-mini,5.0,5.0,1.0,2440.0,2288.0,17.494814920425416,9.782947301864624,53.0,53.0
gripper,train,llm-gpt-4.1-mini,5.0,5.0,1.0,300.0,223.0,0.37872066497802737,0.1493895053863525,23.0,23.0
logistics,test,llm-gpt-4.1-mini,5.0,5.0,1.0,7196.0,10434.0,0.5712750434875489,0.7133173942565918,20.0,25.0
logistics,train,llm-gpt-4.1-mini,5.0,5.0,1.0,11881.4,5763.0,0.9033970832824707,0.4117360115051269,20.4,19.0
