domain,range,method,coverage_mean,expansions_median_solved,time_median_solved,plan_length_median_solved
blocksworld,test,add,1.0,50.0,0.0096592903137207,20.0
blocksworld,test,fd-lmcut,1.0,43.0,0.000751,16.0
blocksworld,test,ff,1.0,91.0,0.0104408264160156,16.0
blocksworld,test,llm-gpt-4o-mini,1.0,6275.0,0.0918109416961669,16.0
blocksworld,test,max,1.0,1209.0,0.1519951820373535,16.0
blocksworld,train,add,1.0,16.0,0.0031981468200683,10.0
blocksworld,train,fd-lmcut,1.0,12.0,0.000204,10.0
blocksworld,train,ff,1.0,14.0,0.0038189888000488,10.0
blocksworld,train,llm-gpt-4o-mini,1.0,112.0,0.0056588649749755,10.0
blocksworld,train,max,1.0,28.0,0.0064172744750976,10.0
